source_package_key,package_name,internal_component_count,internal_lob_count,apps,platforms,downloads,versions
conda-forge/pymongo,pymongo,43,3,15,3,3881,3
conda-forge/s3fs,s3fs,41,3,15,3,3712,3
conda-forge/seaborn,seaborn,40,3,14,3,3543,3
conda-forge/statsmodels,statsmodels,38,2,13,3,3375,3
conda-forge/sympy,sympy,36,2,13,3,3206,3
conda-forge/networkx,networkx,34,2,12,3,3037,3
conda-forge/jupyterlab,jupyterlab,32,2,11,3,2868,3
conda-forge/dask,dask,27,3,,,,
conda-forge/distributed,distributed,26,3,,,,
conda-forge/xarray,xarray,25,3,,,,
conda-forge/netcdf4,netcdf4,24,3,,,,
conda-forge/zarr,zarr,23,3,,,,
conda-forge/fastparquet,fastparquet,22,3,,,,
conda-forge/opencv,opencv,21,2,,,,
conda-forge/scikit-image,scikit-image,21,2,,,,
conda-forge/imageio,imageio,20,2,,,,
conda-forge/tifffile,tifffile,19,2,,,,
conda-forge/plotly,plotly,18,2,,,,
conda-forge/bokeh,bokeh,17,2,,,,
conda-forge/notebook,notebook,16,1,,,,
conda-forge/ipython,ipython,16,1,,,,
conda-forge/ipykernel,ipykernel,15,1,,,,
conda-forge/nbconvert,nbconvert,14,1,,,,
conda-forge/pytorch,pytorch,9,2,,,,
conda-forge/torchvision,torchvision,8,2,,,,
conda-forge/tensorflow,tensorflow,8,2,,,,
conda-forge/keras,keras,8,2,,,,
conda-forge/transformers,transformers,8,2,,,,
conda-forge/tokenizers,tokenizers,8,2,,,,
conda-forge/datasets,datasets,8,1,,,,
conda-forge/onnx,onnx,7,1,,,,
conda-forge/xgboost,xgboost,7,1,,,,
conda-forge/lightgbm,lightgbm,7,1,,,,
conda-forge/catboost,catboost,7,1,,,,
conda-forge/shap,shap,7,1,,,,
conda-forge/igraph,igraph,7,1,,,,
conda-forge/nbformat,nbformat,6,1,,,,
conda-forge/papermill,papermill,6,1,,,,
conda-forge/voila,voila,6,1,,,,
conda-forge/sphinx,sphinx,6,1,,,,
conda-forge/mkdocs,mkdocs,6,1,,,,
conda-forge/typer,typer,6,1,,,,
conda-forge/hypothesis,hypothesis,5,1,,,,
conda-forge/aiohttp,aiohttp,5,1,,,,
conda-forge/websockets,websockets,5,1,,,,
conda-forge/grpcio,grpcio,5,1,,,,
conda-forge/protobuf,protobuf,5,1,,,,
conda-forge/apache-airflow,apache-airflow,5,1,,,,
conda-forge/prefect,prefect,4,1,,,,
conda-forge/great-expectations,great-expectations,4,1,,,,
